total_revenue,gross_income,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,ebitda,ebit,date,symbol,total_assets,cash_and_short_term_investments,cash_only,total_non_current_assets,total_liabilities,total_current_liabilities,total_equity,stockholders_equity,total_debt,total_cash_and_due_from_banks,net_operating_cash_flow,free_cash_flow
1460000000.0,-2020000000,-6240000000.0,0.0,-6440000000.0,37790000.0,-6400000000.0,437910000.0,-4830000000.0,-6240000000.0,2023-12-31,INDX.JK,52190000000.0,3860000000.0,3860000000.0,47660000000,14510000000.0,5460000000,37670000000.0,37670000000.0,0.0,,-4820000000.0,-4830000000.0
492300000000.0,187480000000,93850000000.0,-63660000000.0,47800000000.0,-19020000000.0,29160000000.0,2049999999.0,147800000000.0,93850000000.0,2019-12-31,CSRA.JK,1370000000000.0,27190000000.0,27190000000.0,1180000000000,903660000000.0,164710000000,464900000000.0,464890000000.0,720250000000.0,,81560000000.0,-94820000000.0
607250000000.0,261430000000,153870000000.0,-64250000000.0,90430000000.0,-18070000000.0,72370000000.0,2040000000.0,225310000000.0,153870000000.0,2020-12-31,CSRA.JK,1400000000000.0,41850000000.0,41850000000.0,1200000000000,826290000000.0,263990000000,572280000000.0,572270000000.0,636220000000.0,,167730000000.0,95660000000.0
895870000000.0,504080000000,397330000000.0,-73740000000.0,337130000000.0,-77480000000.0,259649999999.0,2049999999.0,466470000000.0,397330000000.0,2021-12-31,CSRA.JK,1750000000000.0,365500000000.0,365500000000.0,1180000000000,971950000000.0,263339999999,781290000000.0,781280000000.0,766620000000.0,,308870000000.0,229730000000.0
970570000000.0,567580000000,401250000000.0,-50140000000.0,330140000000.0,-77730000000.0,252410000000.0,2049999999.0,470520000000.0,401250000000.0,2022-12-31,CSRA.JK,1839999999999.0,263730000000.0,263730000000.0,1330000000000,872140000000.0,251250000000,963110000000.0,963100000000.0,644700000000.0,,347250000000.0,117370000000.0
875510000000.0,395030000000,232020000000.0,-45630000000.0,198570000000.0,-52440000000.0,146140000000.0,2049999999.0,305090000000.0,232020000000.0,2023-12-31,CSRA.JK,1839999999999.0,25370000000.0,25370000000.0,1520000000000,727690000000.0,187490000000,1120000000000.0,1120000000000.0,509350000000.0,,144040000000.0,-94090000000.0
37660000000.0,16070000000,187830000.0,-29100000.0,120860000.0,18860000.0,139830000.0,1630000000.0,7660000000.0,187830000.0,2019-12-31,DIGI.JK,41590000000.0,1960000000.0,1960000000.0,27430000000,3640000000.0,1670000000,37950000000.0,37940000000.0,0.0,,363780000.0,363780000.0
35100000000.0,10540000000,-9910000000.0,-690370000.0,-10300000000.0,111960000.0,-10190000000.0,1630000000.0,-932380000.0,-9910000000.0,2020-12-31,DIGI.JK,46700000000.0,10390000000.0,10390000000.0,24040000000,19230000000.0,3050000000,27470000000.0,27460000000.0,14110000000.0,,-297650000.0,-2180000000.0
45050000000.0,10240000000,-11870000000.0,-1430000000.0,-13430000000.0,331050000.0,-13100000000.0,1630000000.0,73700000.0,-11870000000.0,2021-12-31,DIGI.JK,34430000000.0,4900000000.0,4900000000.0,26230000000,19960000000.0,4500000000,14470000000.0,14460000000.0,13090000000.0,,9350000000.0,4500000000.0
41540000000.0,5440000000,-15860000000.0,-1390000000.0,-18440000000.0,-164240000.0,-18610000000.0,1630000000.0,-3560000000.0,-15860000000.0,2022-12-31,DIGI.JK,20880000000.0,2760000000.0,2760000000.0,13940000000,24840000000.0,9010000000,-3960000000.0,-3980000000.0,13550000000.0,,-5010000000.0,-5270000000.0
57890000000.0,16110000000,-2860000000.0,-809660000.0,-3420000000.0,-683920000.0,-4110000000.0,1630000000.0,3240000000.0,-2860000000.0,2023-12-31,DIGI.JK,18820000000.0,4450000000.0,4450000000.0,8520000000,26830000000.0,14990000000,-8000000000.0,-8020000000.0,11900000000.0,,6500000000.0,6370000000.0
9970000000.0,,7310000000.0,,9720000000.0,0.0,9720000000.0,651150000.0,8109999999.0,7310000000.0,2019-12-31,NICK.JK,103560000000.0,14420000000.0,14420000000.0,,2830000000.0,,100730000000.0,100730000000.0,0.0,,644010000.0,644010000.0
-2210000000.0,,-4560000000.0,,-2800000000.0,0.0,-2800000000.0,651150000.0,-3760000000.0,-4560000000.0,2020-12-31,NICK.JK,99640000000.0,9980000000.0,9980000000.0,,1720000000.0,,97920000000.0,97920000000.0,0.0,,6360000000.0,6360000000.0
218410000000.0,,216250000000.0,,216300000000.0,0.0,216300000000.0,651150000.0,217050000000.0,216250000000.0,2021-12-31,NICK.JK,315300000000.0,11520000000.0,11520000000.0,,1020000000.0,,314280000000.0,314280000000.0,0.0,,1540000000.0,1540000000.0
-50240000000.0,,-52620000000.0,,-50900000000.0,0.0,-50900000000.0,651150000.0,-51830000000.0,-52620000000.0,2022-12-31,NICK.JK,264690000000.0,50320000000.0,50320000000.0,,1100000000.0,,263589999999.0,263589999999.0,0.0,,53610000000.0,53610000000.0
-66340000000.0,,-69600000000.0,,-68310000000.0,-128280000.0,-68440000000.0,651150000.0,-68459999999.0,-69600000000.0,2023-12-31,NICK.JK,196280000000.0,58070000000.0,58070000000.0,,1290000000.0,,195000000000.0,195000000000.0,0.0,,4130000000.0,4130000000.0
3990000000.0,2670000000,766670000.0,-140280000.0,590880000.0,-76320000.0,514559999.0,1150000000.0,975180000.0,766670000.0,2021-12-31,SOUL.JK,2950000000.0,53960000.0,53960000.0,1140000000,2520000000.0,1060000000,426830000.0,426830000.0,1400000000.0,,396450000.0,190520000.0
4580000000.0,2460000000,314940000.0,-170850000.0,174180000.0,-95490000.0,78680000.0,1150000000.0,1140000000.0,314940000.0,2022-12-31,SOUL.JK,18620000000.0,8020000.0,8020000.0,13800000000,2180000000.0,1490000000,16440000000.0,16440000000.0,1320000000.0,,-1140000000.0,-14650000000.0
4820000000.0,2080000000,-4050000000.0,-32619999.0,-4030000000.0,780830000.0,-3250000000.0,1080000000.0,-2890000000.0,-4050000000.0,2023-12-31,SOUL.JK,42360000000.0,10710000000.0,10710000000.0,17510000000,3290000000.0,2250000000,39070000000.0,39070000000.0,2000000000.0,,-5150000000.0,-13760000000.0
87600000000.0,26880000000,-9530000000.0,-39530000.0,1220000000.0,-552950000.0,668320000.0,465220000.0,-9020000000.0,-9530000000.0,2019-12-31,FORU.JK,90100000000.0,40190000000.0,40190000000.0,10410000000,26550000000.0,25040000000,63560000000.0,63560000000.0,0.0,,-3100000000.0,-3250000000.0
42370000000.0,17580000000,-20430000000.0,-27290000.0,-24440000000.0,-8960000.0,-24450000000.0,465220000.0,-19860000000.0,-20430000000.0,2020-12-31,FORU.JK,48590000000.0,30840000000.0,30840000000.0,3390000000,9600000000.0,7890000000,38990000000.0,38990000000.0,0.0,,-9440000000.0,-9570000000.0
47070000000.0,25760000000,-857640000.0,-17670000.0,-78270000.0,1589999999.0,1510000000.0,465220000.0,-739530000.0,-857640000.0,2021-12-31,FORU.JK,46630000000.0,31470000000.0,31470000000.0,4059999999,6130000000.0,4510000000,40500000000.0,40500000000.0,0.0,,839100000.0,629640000.0
46860000000.0,19680000000,-6080000000.0,-87550000.0,-4920000000.0,1060000000.0,-3860000000.0,465220000.0,-5800000000.0,-6080000000.0,2022-12-31,FORU.JK,51170000000.0,29410000000.0,29410000000.0,7520000000,14530000000.0,9670000000,36640000000.0,36640000000.0,2350000000.0,,-1400000000.0,-1609999999.0
42590000000.0,20030000000,-2650000000.0,-50740000.0,-2040000000.0,-679350000.0,-2719999999.0,465220000.0,-1900000000.0,-2650000000.0,2023-12-31,FORU.JK,40910000000.0,30240000000.0,30240000000.0,4310000000,7000000000.0,5350000000,33909999999.0,33909999999.0,229460000.0,,1070000000.0,743810000.0
318360000000.0,,6640000000.0,-145710000.0,7939999999.0,66280000.0,8000000000.0,348390000.0,,,2019-12-31,ASBI.JK,615360000000.0,,25450000000.0,,323870000000.0,,291490000000.0,291350000000.0,1340000000.0,,-10550000000.0,-18320000000.0
304270000000.0,,-12660000000.0,-105820000.0,18630000000.0,5040000000.0,23660000000.0,348390000.0,,,2020-12-31,ASBI.JK,623660000000.0,,26810000000.0,,309880000000.0,,313770000000.0,313630000000.0,763430000.0,,664630000.0,-1210000000.0
288060000000.0,,-12900000000.0,-145950000.0,12320000000.0,4150000000.0,16440000000.0,348390000.0,,,2021-12-31,ASBI.JK,677010000000.0,,19190000000.0,,321260000000.0,,355740000000.0,355580000000.0,564720000.0,,3200000000.0,-1200000000.0
299750000000.0,,-7190000000.0,-47620000.0,5980000000.0,-830400000.0,5130000000.0,348390000.0,,,2022-12-31,ASBI.JK,654810000000.0,,27230000000.0,,285560000000.0,,369250000000.0,369080000000.0,1140000000.0,,-28990000000.0,-33310000000.0
254050000000.0,,-33100000000.0,-40680000.0,6820000000.0,-991070000.0,5810000000.0,348390000.0,,,2023-12-31,ASBI.JK,654580000000.0,,16190000000.0,,266890000000.0,,387700000000.0,387510000000.0,1530000000.0,,-53810000000.0,-61030000000.0
2540000000.0,493930000,213310000.0,,212760000.0,-12680000.0,200080000.0,4600000000.0,500870000.0,213310000.0,2019-12-31,IPPE.JK,10470000000.0,21200000.0,21200000.0,10170000000,5310000000.0,5240000000,5160000000.0,5160000000.0,0.0,,1839999999.0,21200000.0
15360000000.0,3370000000,1700000000.0,,1690000000.0,-340750000.0,1350000000.0,4600000000.0,2760000000.0,1700000000.0,2020-12-31,IPPE.JK,186450000000.0,175790000.0,175790000.0,179490000000,2400000000.0,2360000000,184040000000.0,181550000000.0,0.0,,-2960000000.0,-170850000000.0
30020000000.0,7170000000,3650000000.0,-4620000.0,3630000000.0,-718330000.0,2920000000.0,3930000000.0,5140000000.0,3650000000.0,2021-12-31,IPPE.JK,284300000000.0,21440000000.0,21440000000.0,178760000000,5380000000.0,5250000000,278920000000.0,278920000000.0,0.0,,-14960000000.0,-15710000000.0
35020000000.0,12120000000,4470000000.0,-13330000.0,4540000000.0,-972250000.0,3560000000.0,4600000000.0,6020000000.0,4470000000.0,2022-12-31,IPPE.JK,290580000000.0,3200000000.0,3200000000.0,185600000000,8130000000.0,7920000000,282460000000.0,282460000000.0,0.0,,10130000000.0,-18240000000.0
35730000000.0,11510000000,5450000000.0,-303310000.0,5050000000.0,-1180000000.0,3860000000.0,4600000000.0,7160000000.0,5450000000.0,2023-12-31,IPPE.JK,301270000000.0,1050000000.0,1050000000.0,201420000000,15000000000.0,9120000000,286280000000.0,286280000000.0,7540000000.0,,-2150000000.0,-9700000000.0
394080000000.0,163440000000,-14950000000.0,-88580000000.0,-82020000000.0,-536650000.0,-24970000000.0,592280000.0,1520000000.0,-14950000000.0,2019-12-31,BIKA.JK,2360000000000.0,114150000000.0,114150000000.0,483670000000,1740000000000.0,643320000000,614170000000.0,294270000000.0,1359999999999.0,,-35890000000.0,-36790000000.0
135320000000.0,55700000000,-40500000000.0,-62590000000.0,-103930000000.0,-402730000.0,-16260000000.0,592280000.0,-26480000000.0,-40500000000.0,2020-12-31,BIKA.JK,3190000000000.0,90130000000.0,90130000000.0,354250000000,3540000000000.0,2410000000000,-344950000000.0,-66640000000.0,1240000000000.0,,84000000000.0,83640000000.0
517130000000.0,338340000000,237550000000.0,-59900000000.0,195140000000.0,-578720000.0,63110000000.0,592280000.0,250800000000.0,237550000000.0,2021-12-31,BIKA.JK,3060000000000.0,79940000000.0,79940000000.0,345400000000,3220000000000.0,2270000000000,-152770000000.0,-4640000000.0,1130000000000.0,,115910000000.0,115780000000.0
504200000000.0,216510000000,84520000000.0,-269370000000.0,-177510000000.0,-380310000.0,-126860000000.0,592280000.0,97040000000.0,84520000000.0,2022-12-31,BIKA.JK,2900000000000.0,90900000000.0,90900000000.0,339360000000,3230000000000.0,2300000000000,-328070000000.0,-130580000000.0,1280000000000.0,,53780000000.0,52570000000.0
269870000000.0,135789999999,6380000000.0,-53940000000.0,-43970000000.0,-208910000.0,-18810000000.0,592280000.0,18670000000.0,6380000000.0,2023-12-31,BIKA.JK,2910000000000.0,74610000000.0,74610000000.0,290180000000,3290000000000.0,2260000000000,-371790000000.0,-149690000000.0,1220000000000.0,,27040000000.0,24400000000.0
85730000000.0,41940000000,-2530000000.0,0.0,3250000000.0,-2620000000.0,2480000000.0,446670000.0,14460000000.0,-2530000000.0,2019-12-31,ARTA.JK,439070000000.0,71370000000.0,64840000000.0,353880000000,66310000000.0,12040000000,372760000000.0,197780000000.0,0.0,,19060000000.0,7970000000.0
32930000000.0,3870000000,-19530000000.0,,-7520000000.0,-3690000000.0,-4960000000.0,446670000.0,-2940000000.0,-19530000000.0,2020-12-31,ARTA.JK,394280000000.0,88110000000.0,77840000000.0,300550000000,51590000000.0,10300000000,342690000000.0,186160000000.0,470700000.0,,-12560000000.0,-19470000000.0
40480000000.0,15650000000,-21560000000.0,-28750000.0,-10050000000.0,-1320000000.0,-1580000000.0,446670000.0,-4310000000.0,-21560000000.0,2021-12-31,ARTA.JK,382350000000.0,85110000000.0,74090000000.0,288740000000,20050000000.0,10700000000,362300000000.0,200750000000.0,274900000.0,,1160000000.0,-3190000000.0
57850000000.0,28960000000,-9520000000.0,-38360000.0,-1760000000.0,1460000000.0,1460000000.0,446670000.0,6040000000.0,-9520000000.0,2022-12-31,ARTA.JK,360730000000.0,84160000000.0,73780000000.0,272579999999,14060000000.0,5960000000,346670000000.0,201590000000.0,328750000.0,,14920000000.0,13300000000.0
77750000000.0,36970000000,-977110000.0,-38800000.0,1880000000.0,485900000.0,1380000000.0,446670000.0,13740000000.0,-977110000.0,2023-12-31,ARTA.JK,290510000000.0,38690000000.0,27850000000.0,248210000000,18420000000.0,10850000000,272089999999.0,158780000000.0,224140000.0,,22620000000.0,15910000000.0
381580000000.0,111120000000,75680000000.0,-3330000000.0,74380000000.0,-18860000000.0,55520000000.0,1090000000.0,81410000000.0,75680000000.0,2019-12-31,CCSI.JK,451910000000.0,79850000000.0,79850000000.0,192540000000,124970000000.0,82020000000,326940000000.0,326940000000.0,40390000000.0,,27470000000.0,-11340000000.0
282010000000.0,74560000000,36280000000.0,-4470000000.0,35180000000.0,-6660000000.0,28520000000.0,1200000000.0,44190000000.0,36280000000.0,2020-12-31,CCSI.JK,500780000000.0,100200000000.0,100200000000.0,213270000000,161600000000.0,117920000000,339180000000.0,339180000000.0,58640000000.0,,44000000000.0,9600000000.0
422880000000.0,96160000000,53190000000.0,-3780000000.0,51900000000.0,-13170000000.0,38730000000.0,1040000000.0,63810000000.0,53190000000.0,2021-12-31,CCSI.JK,523440000000.0,19660000000.0,19660000000.0,209390000000,159130000000.0,132949999999,364310000000.0,364310000000.0,59900000000.0,,-42880000000.0,-73900000000.0
615330000000.0,116600000000,74210000000.0,-7290000000.0,59060000000.0,-14570000000.0,44490000000.0,1200000000.0,93560000000.0,74210000000.0,2022-12-31,CCSI.JK,795180000000.0,14010000000.0,14010000000.0,300170000000,358190000000.0,304020000000,436990000000.0,436990000000.0,188180000000.0,,-10890000000.0,-76550000000.0
349500000000.0,22440000000,-15560000000.0,-15390000000.0,-28120000000.0,5750000000.0,-22380000000.0,1200000000.0,4460000000.0,-15560000000.0,2023-12-31,CCSI.JK,751950000000.0,15980000000.0,15980000000.0,327130000000,342720000000.0,264180000000,409230000000.0,409230000000.0,193810000000.0,,46300000000.0,-1340000000.0
303300000000.0,43140000000,7270000000.0,-1430000000.0,6120000000.0,-2190000000.0,3930000000.0,652500000.0,10690000000.0,7270000000.0,2019-12-31,JATI.JK,104360000000.0,2890000000.0,2890000000.0,18670000000,84680000000.0,75900000000,19680000000.0,19680000000.0,15800000000.0,,-2650000000.0,-4139999999.0
268860000000.0,39330000000,5110000000.0,-400300000.0,6170000000.0,-2180000000.0,3990000000.0,652500000.0,8560000000.0,5110000000.0,2020-12-31,JATI.JK,133090000000.0,45290000000.0,45290000000.0,17920000000,112560000000.0,102700000000,20530000000.0,20530000000.0,0.0,,60070000000.0,58250000000.0
346900000000.0,59640000000,16559999999.0,-127330000.0,17550000000.0,-4059999999.0,13490000000.0,652500000.0,19070000000.0,16559999999.0,2021-12-31,JATI.JK,143460000000.0,23520000000.0,23520000000.0,17350000000,109930000000.0,99180000000,33540000000.0,33540000000.0,6000000000.0,,-23360000000.0,-26400000000.0
507350000000.0,84470000000,32090000000.0,-774470000.0,32080000000.0,-7510000000.0,24570000000.0,652500000.0,34560000000.0,32090000000.0,2022-12-31,JATI.JK,258200000000.0,81540000000.0,81540000000.0,46100000000,161550000000.0,148920000000,96650000000.0,96650000000.0,7700000000.0,,50020000000.0,46150000000.0
468950000000.0,59710000000,4139999999.0,-1580000000.0,3690000000.0,-1010000000.0,2680000000.0,3040000000.0,7000000000.0,4139999999.0,2023-12-31,JATI.JK,315660000000.0,72550000000.0,72550000000.0,95270000000,154620000000.0,138030000000,161040000000.0,161040000000.0,25210000000.0,,-30860000000.0,-32500000000.0
5910000000.0,4150000000,2250000000.0,-2029999.0,2260000000.0,-190340000.0,2100000000.0,1520000000.0,2320000000.0,2250000000.0,2019-12-31,RUNS.JK,6870000000.0,597750000.0,597750000.0,1280000000,1000000000.0,713370000,5860000000.0,5900000000.0,526539999.0,,603560000.0,282180000.0
22490000000.0,15140000000,9730000000.0,-7310000.0,9760000000.0,-2049999999.0,7710000000.0,1520000000.0,9920000000.0,9730000000.0,2020-12-31,RUNS.JK,38410000000.0,18390000000.0,18390000000.0,933210000,3420000000.0,3360000000,35000000000.0,35000000000.0,48430000.0,,-3110000000.0,-3280000000.0
4939999999.0,892340000,-13890000000.0,-31540000.0,-13480000000.0,2570000000.0,-10910000000.0,848390000.0,-13400000000.0,-13890000000.0,2021-12-31,RUNS.JK,69290000000.0,46240000000.0,13240000000.0,7270000000,1589999999.0,1450000000,67700000000.0,67700000000.0,0.0,,-11040000000.0,-12940000000.0
31290000000.0,24480000000,4630000000.0,-218340000.0,4960000000.0,-1520000000.0,2940000000.0,848390000.0,6250000000.0,4630000000.0,2022-12-31,RUNS.JK,87080000000.0,27110000000.0,27110000000.0,35120000000,12410000000.0,2550000000,74670000000.0,69860000000.0,9220000000.0,,-5760000000.0,-6710000000.0
27720000000.0,20020000000,-5950000000.0,-166930000.0,-6250000000.0,1500000000.0,-6850000000.0,848390000.0,-3980000000.0,-5950000000.0,2023-12-31,RUNS.JK,96440000000.0,11680000000.0,11680000000.0,64060000000,27310000000.0,7910000000,69130000000.0,62600000000.0,18920000000.0,,3680000000.0,-15290000000.0
12020000000.0,3030000000,421360000.0,-1300000.0,420690000.0,-112280000.0,308420000.0,1560000000.0,626620000.0,421360000.0,2019-12-31,MEDS.JK,7740000000.0,540090000.0,540090000.0,2150000000,3510000000.0,3410000000,4230000000.0,4230000000.0,0.0,,-2610000000.0,-3469999999.0
87790000000.0,59170000000,48650000000.0,-10100000.0,48690000000.0,-10730000000.0,37960000000.0,1560000000.0,49410000000.0,48650000000.0,2020-12-31,MEDS.JK,30890000000.0,13870000000.0,13870000000.0,9650000000,17860000000.0,17480000000,13030000000.0,13030000000.0,2220000000.0,,48680000000.0,41310000000.0
75790000000.0,53600000000,34090000000.0,-180420000.0,34130000000.0,-7500000000.0,26630000000.0,1560000000.0,35820000000.0,34090000000.0,2021-12-31,MEDS.JK,49980000000.0,1400000000.0,1400000000.0,35090000000,17520000000.0,7800000000,32460000000.0,32460000000.0,11290000000.0,,13480000000.0,-13520000000.0
37740000000.0,18530000000,4590000000.0,-759200000.0,596320000.0,-359250000.0,237060000.0,1370000000.0,7560000000.0,4590000000.0,2022-12-31,MEDS.JK,80930000000.0,5360000000.0,5360000000.0,43540000000,12140000000.0,4139999999,68790000000.0,68790000000.0,10030000000.0,,-13020000000.0,-30990000000.0
22720000000.0,8390000000,-2500000000.0,-663420000.0,-3590000000.0,17010000.0,-3570000000.0,1560000000.0,1650000000.0,-2500000000.0,2023-12-31,MEDS.JK,77130000000.0,665570000.0,665570000.0,53600000000,11970000000.0,6330000000,65160000000.0,65160000000.0,7970000000.0,,3150000000.0,-2940000000.0
216200000000.0,34820000000,22630000000.0,-12690000000.0,10760000000.0,-2810000000.0,7960000000.0,492630000.0,27280000000.0,22630000000.0,2019-12-31,COCO.JK,250440000000.0,489700000.0,489700000.0,104530000000,141080000000.0,124840000000,109360000000.0,109360000000.0,90790000000.0,,-9590000000.0,-44350000000.0
171050000000.0,26730000000,15770000000.0,-12370000000.0,3719999999.0,-976910000.0,2740000000.0,560280000.0,20860000000.0,15770000000.0,2020-12-31,COCO.JK,263750000000.0,88640000.0,88640000.0,101770000000,151690000000.0,135289999999,112070000000.0,112070000000.0,107470000000.0,,-32720000000.0,-35130000000.0
224440000000.0,37340000000,24950000000.0,-14140000000.0,10750000000.0,-2220000000.0,8529999999.0,889740000.0,31190000000.0,24950000000.0,2021-12-31,COCO.JK,370680000000.0,75070000000.0,75070000000.0,96840000000,151850000000.0,140130000000,218830000000.0,218830000000.0,129740000000.0,,-26120000000.0,-27390000000.0
289800000000.0,54820000000,21470000000.0,-11670000000.0,10380000000.0,-3590000000.0,6620000000.0,889860000.0,28240000000.0,21470000000.0,2022-12-31,COCO.JK,485050000000.0,1220000000.0,1220000000.0,200880000000,280760000000.0,146030000000,204290000000.0,204290000000.0,210410000000.0,,-77750000000.0,-134680000000.0
171060000000.0,10890000000,-23290000000.0,-28930000000.0,-50830000000.0,391760000.0,-50450000000.0,889860000.0,-15830000000.0,-23290000000.0,2023-12-31,COCO.JK,528960000000.0,108160000000.0,108160000000.0,206940000000,378360000000.0,117660000000,150600000000.0,150600000000.0,337130000000.0,,-8810000000.0,-19790000000.0
4920000000.0,3780000000,2340000000.0,-3230000.0,2220000000.0,-24600000.0,2420000000.0,2320000000.0,2400000000.0,2340000000.0,2019-12-31,IDEA.JK,27220000000.0,1300000000.0,1300000000.0,23330000000,17520000000.0,17490000000,9690000000.0,9690000000.0,1700000000.0,,682580000.0,-21220000000.0
14570000000.0,10330000000,7160000000.0,-9600000.0,7210000000.0,-85550000.0,7120000000.0,2320000000.0,8720000000.0,7160000000.0,2020-12-31,IDEA.JK,58710000000.0,2260000000.0,2260000000.0,52320000000,24370000000.0,6330000000,34340000000.0,34340000000.0,21450000000.0,,7630000000.0,-24480000000.0
15360000000.0,7710000000,2870000000.0,-2029999999.0,1140000000.0,-415300000.0,720370000.0,328940000.0,6050000000.0,2870000000.0,2021-12-31,IDEA.JK,84480000000.0,15640000000.0,15640000000.0,49290000000,22930000000.0,10060000000,61550000000.0,61540000000.0,20540000000.0,,3630000000.0,-11270000000.0
18270000000.0,6780000000,2420000000.0,-1750000000.0,753270000.0,-144770000.0,608540000.0,1060000000.0,6050000000.0,2420000000.0,2022-12-31,IDEA.JK,81180000000.0,4330000000.0,1330000000.0,60830000000,19030000000.0,7160000000,62150000000.0,62150000000.0,16899999999.0,,2180000000.0,-9420000000.0
20280000000.0,8119999999,2640000000.0,-1580000000.0,1160000000.0,-206510000.0,948990000.0,1060000000.0,7050000000.0,2640000000.0,2023-12-31,IDEA.JK,79340000000.0,3050000000.0,3050000000.0,72840000000,17330000000.0,7900000000,62020000000.0,62010000000.0,14790000000.0,,8840000000.0,2810000000.0
141160000000.0,57960000000.0,30560000000.0,-36340000000.0,-2049999999.0,-1100000000.0,-1300000000.0,1040000000.0,52690000000.0,30560000000.0,2019-12-31,KPAL.JK,756290000000.0,7080000000.0,7080000000.0,425690000000.0,564620000000.0,496170000000.0,191670000000.0,174220000000.0,374630000000.0,,-22180000000.0,-24290000000.0
,,,,,,,,,,2020-12-31,KPAL.JK,,,,,,,,,,,,
,,,,,,,,,,2021-12-31,KPAL.JK,,,,,,,,,,,,
,,,,,,,,,,2022-12-31,KPAL.JK,,,,,,,,,,,,
,,,,,,,,,,2023-12-31,KPAL.JK,,,,,,,,,,,,
565590000000.0,87260000000,54910000000.0,-2510000000.0,56000000000.0,-15310000000.0,38060000000.0,2500000000.0,62930000000.0,54910000000.0,2019-12-31,SUNI.JK,502360000000.0,90200000000.0,90200000000.0,164560000000,212820000000.0,209340000000,289540000000.0,234850000000.0,81550000000.0,,45440000000.0,20570000000.0
207810000000.0,24940000000,-6120000000.0,-2170000000.0,-10670000000.0,1100000000.0,-6620000000.0,2500000000.0,5750000000.0,-6120000000.0,2020-12-31,SUNI.JK,398490000000.0,69880000000.0,69880000000.0,161660000000,119800000000.0,105860000000,278690000000.0,227730000000.0,11890000000.0,,57060000000.0,47740000000.0
317560000000.0,67000000000,37310000000.0,-1550000000.0,37260000000.0,-8390000000.0,23330000000.0,2500000000.0,50160000000.0,37310000000.0,2021-12-31,SUNI.JK,437450000000.0,65590000000.0,65590000000.0,149310000000,129810000000.0,119120000000,307640000000.0,251180000000.0,9060000000.0,,3280000000.0,-2460000000.0
540270000000.0,140010000000,103540000000.0,-1270000000.0,94080000000.0,-21330000000.0,62810000000.0,2500000000.0,114730000000.0,103540000000.0,2022-12-31,SUNI.JK,531750000000.0,140610000000.0,140610000000.0,141640000000,150960000000.0,141800000000,380800000000.0,314390000000.0,6170000000.0,,82330000000.0,77860000000.0
762420000000.0,177730000000,133470000000.0,-3490000000.0,130710000000.0,-29850000000.0,101200000000.0,2500000000.0,144450000000.0,133470000000.0,2023-12-31,SUNI.JK,788900000000.0,164250000000.0,164250000000.0,251780000000,200610000000.0,136280000000,588290000000.0,579560000000.0,73380000000.0,,-29670000000.0,-151570000000.0
